0	data mining	196	click	Mon Oct 06 15:02:50 EDT 2014
0	data mining	158	click	Mon Oct 06 15:02:52 EDT 2014
0	data mining	366	click	Mon Oct 06 15:02:54 EDT 2014
0	data mining	64	click	Mon Oct 06 15:02:57 EDT 2014
2	abc	530	click	Mon Oct 06 15:03:12 EDT 2014
3	google	56	click	Mon Oct 06 15:03:22 EDT 2014
3	google	360	click	Mon Oct 06 15:03:25 EDT 2014
4	bing	525	click	Mon Oct 06 15:03:34 EDT 2014
4	bing	244	click	Mon Oct 06 15:03:41 EDT 2014
4	bing	250	click	Mon Oct 06 15:03:53 EDT 2014
